,Scientific name,Family,Common name,Growth rate (r),Mobility (m),Mobility classification,Movement source,Movement information notes and references
1,Beryx splendens,Berycidae,Splendid alfonsino,0.242,0.3,habitat_deep,FB,"FB: “Adults inhabit the outer shelf (180 m) and slope to at least 1,300 m depth, probably moving further from the bottom at night; often found over seamounts (Ref. 9833) and underwater ridges (Ref. 33648).”"
2,Thunnus alalunga,Scombridae,Albacore,0.139,0.9,hms,FB,
3,Hippoglossoides platessoides,Pleuronectidae,American plaice,0.145,0.3,habitat_benthic,FB,
4,Engraulis encrasicolus,Engraulidae,European anchovy,0.557,0.9,migratory,FB,"FB: “Tends to move further north and into surface waters in summer, retreating and descending in winter.”"
5,Lophius budegassa,Lophiidae,Blackbellied angler,0.403,0.3,habitat_benthic,FB,
6,Theragra chalcogramma,Gadidae,Alaska pollock,0.268,0.3,habitat_deep,REF,Secondary ref: (1)
7,Atheresthes stomias,Pleuronectidae,Arrow-tooth flounder,0.193,0.3,habitat_benthic,FB,
8,Engraulis anchoita,Engraulidae,Argentine anchovy,0.639,0.9,migratory,FB,FB: “Exhibits north-south and near shore-offshore migrations.”
9,Merluccius hubbsi,Merlucciidae,Argentine hake,0.227,0.9,migratory,FB,"FB: “Migrate inshore during spring and summer, and offshore into deep water wintering areas after spawning; also undertake diel vertical migrations (Ref. 1371).”"
10,Thunnus thynnus,Scombridae,Atlantic bluefin tuna,0.082,0.9,pelagic,IUCN,
11,Hippoglossus hippoglossus,Pleuronectidae,Atlantic halibut,0.119,0.3,habitat_benthic,FB,
12,Pleurogrammus monopterygius,Hexagrammidae,Atka mackerel,0.077,0.3,habitat_coastal,FB,
13,Micropogonias undulatus,Sciaenidae,Atlantic croaker,0.874,0.3,habitat_coastal,FB,
14,Dissostichus mawsoni,Nototheniidae,Antarctic toothfish,0.104,0.9,deep,FB,
15,Arripis trutta,Arripidae,Australian salmon,0.286,0.3,habitat_coastal,FB,"FB: “Inhabit continental shelf waters including estuaries, bays and inlets (Ref. 6390). Found between depths of 30 m (Ref. 33616) and 39 m (Ref. 58489).”"
16,Callinectes sapidus,Portunidae,blue crab,0.6,0.3,habitat_coastal,REF,“...net migratory speeds were on the order of 5 km day1.” Ref: (2)
17,Pseudotolithus elongatus,Sciaenidae,Bobo croaker,0.263,0.3,habitat_coastal,FB,
18,Macruronus novaezelandiae,Merlucciidae,Blue grenadier,0.099,0.9,deep,FB,FB: “Migrates southward in spring and summer and northward in winter (Ref. 1371)”
19,Sebastes melanostomus,Sebastidae,Blackgill rockfish,0.057,0.3,habitat_deep,FB,"FB: “Found on soft bottom in deep water, but young in shallower areas (Ref. 2850).”"
20,Brachydeuterus auritus,Haemulidae,Bigeye grunt,0.674,0.3,habitat_coastal,IUCN,
21,Merluccius polli,Merlucciidae,Benguela hake,0.234,0.3,habitat_deep,FB,
22,Thunnus obesus,Scombridae,Bigeye tuna,0.236,0.9,pelagic,IUCN,
23,Epigonus telescopus,Epigonidae,Black cardinal fish,0.097,0.3,habitat_deep,FB,FB: “Adults benthic or benthopelagic on the continental slopes... Non-territorial.”
24,Allocyttus niger,Oreosomatidae,Black oreo,0.065,0.3,habitat_deep,FB,
25,Sebastes melanops,Sebastidae,Black rockfish,0.085,0.3,habitat_reef,FB,
26,Pomatomus saltatrix,Pomatomidae,Bluefish,0.525,0.9,migratory,FB,
27,Sebastes mystinus,Sebastidae,Blue rockfish,0.104,0.3,habitat_reef,FB,
28,Scomber australasicus,Scombridae,Blue mackerel,0.571,0.9,hms,FB,
29,Makaira nigricans,Istiophoridae,Blue marlin,0.268,0.9,hms,FB,
30,Sebastes rufus,Sebastidae,Bank rockfish,0.086,0.3,habitat_benthic,FB,FB: “Adults demersal and semi-pelagic (Ref. 36715)”
31,Hyperoglyphe antarctica,Centrolophidae,Bluenose warehou,0.181,0.3,habitat_reef,FB,
32,Sebastes paucispinis,Sebastidae,Bocaccio rockfish,0.106,0.3,habitat_reef,FB,
33,Ethmalosa fimbriata,Clupeidae,Bonga shad,0.691,0.3,habitat_coastal,FB,
34,Centropristis striata,Serranidae,Black seabass,0.391,0.3,habitat_reef,FB,
35,Carcharhinus limbatus,Carcharhinidae,Blacktip shark,0.099,0.9,hms,FB,
36,Peprilus triacanthus,Stromateidae,Atlantic butterfish,0.7,0.9,pelagic,FB,
37,Micromesistius poutassou,Gadidae,Blue whiting,0.265,0.9,migratory,FAO,
38,Scorpaenichthys marmoratus,Cottidae,Cabezon,0.322,0.3,habitat_benthic,FB,
39,Mallotus villosus,Osmeridae,Capelin,0.138,0.9,migratory,FB,
40,Merluccius capensis,Merlucciidae,Shallow-water Cape hake,0.138,0.9,migratory,FB,FB: “Migrates southward in the spring and northward in autumn (Ref. 1371).”
41,Sebastes goodei,Sebastidae,Chilipepper rockfish,0.093,0.3,habitat_reef,FB,
42,Trachurus trecae,Carangidae,Cunene horse mackerel,0.479,0.9,pelagic,FB,
43,Trachurus murphyi,Carangidae,Chilean jack mackerel,0.247,0.9,pelagic,FB,
44,Scomber japonicus,Scombridae,Chub mackerel,0.398,0.9,hms,FB,
45,Gadus morhua,Gadidae,Atlantic cod,0.369,0.9,migratory,FAO,"FAO: “Although some groups of small cod are relatively stationary, individuals or groups may perform astonishingly long migrations.”"
46,Pagellus erythrinus,Sparidae,Common pandora,0.467,0.3,habitat_reef,FB,
47,Jasus lalandii,Palinuridae,Cape rock lobster,0.425,0.3,habitat_benthic,REF,Secondary ref: (3)
48,Sebastes pinniger,Sebastidae,Canary rockfish,0.039,0.3,habitat_reef,FB,
49,Trachurus capensis,Carangidae,Cape horse mackerel,0.282,0.9,pelagic,FB,
50,Brosme brosme,Lotidae,Tusk,0.105,0.3,habitat_benthic,FB,
51,Sebastes crameri,Sebastidae,Darkblotched rockfish,0.053,0.3,habitat_benthic,FB,
52,Parapenaeus longirostris,Penaeidae,deep-water rose shrimp,1.03,0.3,habitat_benthic,SLB,
53,Microstomus pacificus,Pleuronectidae,Dover sole,0.09,0.3,habitat_benthic,FB,
54,Sebastes variabilis,Sebastidae,NA,0.083,0.3,habitat_benthic,FB,
55,Hippoglossoides elassodon,Pleuronectidae,Flathead sole,0.18,0.3,habitat_benthic,FB,
56,Lepidorhombus boscii,Scophthalmidae,Four-spot megrim,0.513,0.3,habitat_benthic,FB,
57,Caranx rhonchus,Carangidae,False scad,0.643,0.3,habitat_coastal,FB,
58,Mycteroperca microlepis,Serranidae,Gag,0.177,0.3,habitat_reef,FB,
59,Rexea solandri,Gempylidae,Silver gemfish,0.235,0.3,migratory,FB,FB: “Dense schools of pre-spawners migrate along the continental slope at about 400 m during winter (Ref. 9563).”
60,Phycis blennoides,Phycidae,Greater forkbeard,0.397,0.9,migratory,REF,Secondary ref: (4) “Young are more coastal and found on the continental shelf while adults migrate along the slope.”
61,Reinhardtius hippoglossoides,Pleuronectidae,Greenland halibut,0.172,0.3,habitat_benthic,FB,
62,Sebastes carnatus,Sebastidae,Gopher rockfish,0.086,0.1,territorial,FB,FB: “Inhabit holes or crevices in rocky areas (Ref. 2850).  Territorial (Ref. 2850)”
63,Seriola dumerili,Carangidae,Greater amberjack,0.451,0.3,habitat_reef,FB,
64,Sebastes elongatus,Sebastidae,Greenstriped rockfish,0.092,0.3,habitat_benthic,FB,
65,Aristaeomorpha foliacea,Aristeidae,giant red shrimp,0.47,0.3,habitat_deep,SLB,
66,Sebastes chlorostictus,Sebastidae,Greenspotted rockfish,0.086,0.3,habitat_benthic,FB,
67,Kathetostoma giganteum,Uranoscopidae,Giant stargazer,0.286,0.1,sedentary,FB,
68,Penaeus semisulcatus,Penaeidae,green tiger prawn,1.18,0.9,migratory,REF,"Secondary ref: (5) “Tagging studies by previous workers indicated that adults of P. semisulcatus also migrate offshore to deeper water as they mature (FAO, 1980; Farmer and Al-Attar, 1981; Muhammad et al., 1981; Somers and Kirkwood, 1984)”"
69,Melanogrammus aeglefinus,Gadidae,Haddock,0.302,0.9,migratory,FB,
70,Merluccius merluccius,Merlucciidae,European hake,0.31,0.3,habitat_deep,FB,
71,Clupea harengus,Clupeidae,Atlantic herring,0.216,0.9,migratory,FB,FB: “Herring schools move between spawning and wintering grounds in coastal areas and feeding grounds in open water by following migration patterns learned from earlier year classes (Ref. 88171).”
72,Clupea pallasii,Clupeidae,Pacific herring,0.56,0.3,habitat_coastal,FB,FB: “non-migratory”
73,Trachurus trachurus,Carangidae,Atlantic horse mackerel,0.412,0.9,pelagic,FB,
74,Illex illecebrosus,Ommastrephidae,northern shortfin squid,0.76,0.9,pelagic,IUCN,
75,Engraulis japonicus,Engraulidae,Japanese anchovy,0.796,0.9,pelagic,FB,"FB: “Occurs in large schools near the surface, mainly in coastal waters but as far out as over 1,000 km from the shore.”"
76,Trachurus japonicus,Carangidae,Japanese jack mackerel,0.601,0.9,pelagic,FB,
77,Hexagrammos decagrammus,Hexagrammidae,Kelp greenling,0.341,0.3,habitat_reef,FB,
78,Genypterus capensis,Ophidiidae,Kingklip,0.182,0.3,habitat_benthic,FB,
79,Scomberomorus cavalla,Scombridae,King mackerel,0.423,0.9,hms,FB,"FB: “Large schools have been found to migrate over considerable distances along the Atlantic US coast, water temperature permitting.”"
80,Dentex macrophthalmus,Sparidae,Large-eye dentex,0.46,0.3,habitat_coastal,FB,
81,Ophiodon elongatus,Hexagrammidae,Lingcod,0.143,0.9,migratory,FB,FB: “Both migratory and non-migratory populations exist (Ref. 6885).”
82,Raja rhina,Rajidae,Longnose skate,0.068,0.3,habitat_benthic,FB,
83,Homarus americanus,Nephropidae,American lobster,0.57,0.3,habitat_benthic,SLB,"SLB: “Migration does not occur, or only to a limited scale (Ref. 4).”"
84,Sebastolobus altivelis,Sebastidae,Longspine thornyhead,0.095,0.3,habitat_deep,REF,Secondary ref: (6)
85,Scomber scombrus,Scombridae,Atlantic mackerel,0.271,0.9,hms,FB,FB: “They overwinter in deeper waters but move closer to shore in spring when water temperatures range between 11? and 14?C.”
86,Lepidorhombus whiffiagonis,Scophthalmidae,Megrim,0.443,0.3,habitat_benthic,FB,
87,Brevoortia patronus,Clupeidae,Gulf menhaden,0.843,0.3,habitat_coastal,FAO,
88,Brevoortia tyrannus,Clupeidae,Atlantic menhaden,0.724,0.9,migratory,FAO,FAO: “north/south migrations (spring and summer versus autumn) occur”
89,Trachurus mediterraneus,Carangidae,Mediterranean horse mackerel,0.393,0.9,pelagic,FB,
90,Lophius americanus,Lophiidae,American angler,0.343,0.3,habitat_benthic,FB,
91,Nemadactylus macropterus,Cheilodactylidae,Tarakihi,0.107,0.3,habitat_coastal,REF,Secondary ref: (7)
92,Mugil cephalus,Mugilidae,Flathead grey mullet,0.277,0.3,habitat_coastal,FB,
93,Nephrops norvegicus,Nephropidae,Norway lobster,0.52,0.1,sedentary,SLB,SLB: “Sedentary (Ref. 94799). Inhabits muddy bottoms in which it digs its burrows.”  “Burrowing.” Ref: (8)
